date,Headlines,Description,source,country_pair
2018-03-21,Factbox: Top S&P 500 companies exposed to China,"Investor worries about a trade war between the United States and China ratcheted up on Wednesday, leaving a number of large U.S. companies potentially in the crosshairs of a dispute because of their business with China.",Reuters,CHN-USA
2018-03-21,Brazil prosecutors open investigation into Cambridge Analytica,"Brazilian prosecutors on Wednesday said they had opened an investigation into whether London-based political consultancy Cambridge Analytica acted illegally in Brazil, as controversy over the firm's data harvesting practices spreads across the globe.",Reuters,BRA-GBR
2018-03-21,Trump will announce trade actions on China on Thursday,"U.S. President Donald Trump will announce on Thursday the actions he will take against China for its alleged theft of U.S. intellectual property and technology, a White House official said on Wednesday.",Reuters,CHN-USA
2018-03-21,Exclusive: Kaspersky Lab plans Swiss data center to combat spying allegations - documents,"Moscow-based Kaspersky Lab plans to open a data center in Switzerland to address Western government concerns that Russia exploits its anti-virus software to spy on customers, according to internal documents seen by Reuters.",Reuters,CHE-RUS
2018-03-21,Germany wants clarity from Facebook after reports of data abuse,Germany said on Wednesday it wanted Facebook to clarify the use of its data after reports that a UK-based political consultancy improperly accessed information on millions of Facebook users to build detailed profiles on American voters.,Reuters,DEU-GBR
2018-03-21,"U.S. trade actions on China could slip to Friday, official says","New U.S. tariffs on China imports expected to be announced as early as Thursday could slip until Friday, a Trump administration official said on Wednesday.",Reuters,CHN-USA
2018-03-21,"G20 sees need for 'dialogue,' fails to defuse trade war threat","The world's financial leaders rejected protectionism on Tuesday and urged ""further dialogue"" on trade, but failed to defuse the threat of a trade war days before U.S. metals tariffs take effect and Washington is to announce measures against China.",Reuters,CHN-USA
2018-03-22,"U.S. carmaker Ford, India's Mahindra to develop SUVs, electric vehicle","U.S. carmaker Ford Motor Co and India's Mahindra & Mahindra said on Thursday they have signed an agreement to develop midsize and compact sports utility vehicles (SUV) and an electric vehicle, which Ford could also potentially sell in other markets outside India.",Reuters,IND-USA
2018-03-22,"Exclusive: China to respond to U.S. tariffs, resist protectionism - WTO envoy","China is preparing a range of responses to planned U.S. tariffs and will stand up to protectionism, but still hopes for dialogue, Beijing's ambassador to the World Trade Organization (WTO) said on Thursday.",Reuters,CHN-USA
2018-03-22,Trump initiates trade action against China,"U.S. President Donald Trump initiated a trade action against China on Thursday, saying the U.S. deficit with Beijing was ""out of control"" at about $504 billion and there was a huge ""intellectual property theft situation.""",Reuters,CHN-USA
2018-03-22,China 'would fight to the end' in any U.S.-launched trade war: embassy,"China is ""strongly disappointed"" in U.S. President Donald Trump's decision to launch trade sanctions against Beijing but will not recoil from a trade war with the United States, the Chinese embassy in Washington said on Thursday.",Reuters,CHN-USA
2018-03-22,Boeing will not appeal trade case against Bombardier: spokesman,"Boeing Co will not appeal against the U.S. trade commission ruling that allows Canada's Bombardier Inc to sell its newest jets to U.S. airlines without heavy duties, a Boeing spokesman said on Thursday.",Reuters,CAN-USA
2018-03-22,Trump moves toward China tariffs in warning shot on technology transfer,"U.S. President Donald Trump lit a slow-burning fuse on Thursday to launch long-promised anti-China tariffs, but his actions appeared to be more of a warning shot than the start of a full-blown trade war with Beijing.",Reuters,CHN-USA
2018-03-22,China urges U.S. against taking trade relations to 'dangerous place',"China urged the United States on Friday to avoid taking bilateral trade relations to a ""dangerous place"", the Chinese commerce ministry said in a statement on Friday, responding to planned U.S. tariffs following an intellectual property probe.",Reuters,CHN-USA
2018-03-22,"Trump set for China tariff announcement on Thursday, trade war fears grow","President Donald Trump will announce tariffs on Chinese imports on Thursday, a White House official said, in a move aimed at curbing theft of U.S. technology and likely to trigger retaliation from Beijing and stoke fears of a global trade war.",Reuters,CHN-USA
2018-03-22,Malta freezes Pilatus bank's operations after chairman's arrest,Malta's regulators have imposed a freeze on the business of Pilatus Bank after its chairman's arrest on charges of breaking U.S. sanctions prompted a fresh wave of criticism of the island's authorities.,Reuters,MLT-USA
2018-03-22,Best Buy cuts ties with China's Huawei: source,"Best Buy Co Inc, the largest U.S. consumer electronics retailer, will cut ties with China's Huawei Technologies Co Ltd, a person familiar with the matter said, amid heightened scrutiny on Chinese tech firms in the United States.",Reuters,CHN-USA
2018-03-22,German BGA trade association welcomes US tariff exemptions for EU,"U.S. President Donald Trump's decision to pause the imposition of new steel and aluminum tariffs on the European Union is a ""triumph of reason"", the chief of Germany's BGA trade association said on Thursday.",Reuters,DEU-USA
2018-03-23,Canada calls end to trade case positive for 'longstanding' Boeing ties,"Canada on Friday welcomed as a ""positive development"" in its long ties with Boeing a decision by the U.S. planemaker to end a trade dispute over sales of Bombardier CSeries jets in the United States.",Reuters,CAN-USA
2018-03-23,"U.S., South Korea on verge of trade deal: Trump","The United States and South Korea could announce a trade deal next week that would cover an exemption from U.S. steel and aluminum tariffs and other trade issues, President Donald Trump and his commerce secretary said on Friday.",Reuters,KOR-USA
2018-03-23,China urges U.S. away from 'brink' as Trump picks trade weapons,"China urged the United States on Friday to ""pull back from the brink"" as President Donald Trump's plans for tariffs on up to $60 billion in Chinese goods moved the world's two largest economies closer to a trade war.",Reuters,CHN-USA
2018-03-23,EU demands permanent exemption from U.S. steel tariffs,European Union leaders demanded on Friday that U.S. President Donald Trump give the bloc a permanent exemption from new tariffs on steel and aluminum imposed by Washington as part of a trade conflict with China.,Reuters,CHN-USA
2018-03-23,UK investigators enter Cambridge Analytica offices in London,"Investigators from Britain's data watchdog on Friday entered the London offices of a data analytics firm at the center of a storm over allegations it improperly harvested Facebook data to target U.S. voters, a Reuters witness said.",Reuters,GBR-USA
2018-03-23,Wall Street nosedives as investors flee on trade war fears,"Wall Street tumbled on Friday with more than 1,000 points knocked off the Dow in two days as investors, increasingly nervous about a potential U.S. trade war with China, shied away from risk ahead of the weekend and sought shelter from further losses.",Reuters,CHN-USA
2018-03-23,China says in touch with U.S. after tariff announcement,"China is in touch with the United States and communication channels are smooth, a senior Chinese Commerce Ministry official said on Friday, after U.S. President Donald Trump announced plans to target up to $60 billion in Chinese goods with tariffs.",Reuters,CHN-USA
2018-03-23,China hopes U.S. takes seriously China's position on trade,"China's foreign ministry said on Friday it hoped the United States can take China's position seriously and make a rational decision, after U.S. President Donald Trump announced plans to target up to $60 billion in Chinese goods with tariffs.",Reuters,CHN-USA
2018-03-23,"Germany welcomes U.S. tariff exemption, wants more trade cooperation",Germany's economy minister on Friday welcomed U.S. President Donald Trump's decision to temporarily exclude European Union countries from higher U.S. import duties on steel and aluminum and called for more international cooperation on trade.,Reuters,DEU-USA
2018-03-23,U.S. has not given China a list of trade remedy actions: U.S. official,"The United States has not given China a list of actions it wants Beijing to take in order to remedy two-way trade ties, a senior U.S. official told Reuters on Friday.",Reuters,CHN-USA
2018-03-23,"Norway subject to U.S. steel, aluminum tariffs","Norway will be subject to the new U.S. tariffs on steel and aluminum, the Nordic country's foreign minister said on Friday, calling on her American counterparts to remedy the situation.",Reuters,NOR-USA
2018-03-23,"Oh nuts! China shoppers lament tariffs on US almonds, pistachio and fruit","As Beijing and Washington exchange barbs that threaten a potential trade war, health-conscious Chinese shoppers are beginning to fret over what this could mean for their pockets: a potential jump in prices for U.S.-grown cherries and pistachios.",Reuters,CHN-USA
2018-03-23,Ireland chooses investment firms to manage Apple cash,"Ireland on Friday chose Amundi , BlackRock Investment Management , and Goldman Sachs Asset Management to manage up to 15 billion euros ($18.5 billion) in disputed taxes Brussels has ordered it to collect from Apple.",Reuters,BEL-IRL
2018-03-23,Russia eyes restrictions on U.S. imports in response to tariffs,"Russia will likely prepare a list of restrictions on imported products from the United States in response to U.S. tariffs on steel and aluminum, Moscow's trade ministry said on Friday, according to Interfax news agency.",Reuters,RUS-USA
2018-03-23,Norway not exempted from U.S. steel and aluminum tariffs,"Norway is not exempt from U.S. tariffs on steel and aluminum, the Nordic country's foreign minister said on Friday.",Reuters,NOR-USA
2018-03-24,"China should target U.S. soybeans, says former finance minister","The response by China's commerce ministry to the latest U.S trade measures is too weak, and should target U.S. soybeans, former Chinese finance minister Lou Jiwei said on Saturday.",Reuters,CHN-USA
2018-03-24,UK investigators search London office of firm at center of Facebook data storm,"Investigators from Britain's data watchdog searched the London offices of Cambridge Analytica, the data analytics firm at the center of a storm over allegations it improperly harvested Facebook data to target U.S. voters.",Reuters,GBR-USA
2018-03-25,Mexico's Chedraui buys Fiesta Mart to grow U.S. Latino sales,"Mexican grocer Chedraui, a powerhouse in the fast-growing Latino market in the United States, said on Sunday it had bought smaller U.S. grocery store chain Fiesta Marts for an undisclosed amount.",Reuters,CHN-USA
2018-03-26,Smurfit Kappa rejects raised bid from International Paper,"Ireland's Smurfit Kappa rejected a raised takeover offer from International Paper on Monday, frustrating a bid to combine the largest listed U.S. paper packaging firm with Europe's biggest.",Reuters,IRL-USA
2018-03-26,"U.S., South Korea revise trade deal with quotas on Korean steel","The United States and South Korea agreed to revise a trade pact sharply criticized by U.S. President Donald Trump, Seoul said on Monday, with U.S. automakers winning improved market access and Korean steelmakers hit with quotas but avoiding hefty tariffs.",Reuters,KOR-USA
2018-03-26,Wall Street rebounds on hopes for U.S.-China talks on trade,"The main U.S. stock indices advanced more than 2 percent on Monday, helping recoup some of last week's losses, amid signs that the United States and China were willing to negotiate on tariffs eased concerns about a trade war between the two countries.",Reuters,CHN-USA
2018-03-26,Cancelling new Mexico airport would cost $6.6 billion: company CEO,"Cancelling the new Mexico City airport would cost about half its $13 billion budget, the head of the company in charge of the project said on Monday following threats by the presidential election front-runner to scrap it.",Reuters,CHN-MEX
2018-03-26,Hyundai's union says revised trade deal with U.S. 'humiliating',"Hyundai Motor Co's South Korean labor union on Tuesday called Seoul's revised free trade deal with the United States ""humiliating"", and said the extended tariffs on pick-up trucks mean a missed opportunity to tap into the U.S. market.",Reuters,KOR-USA
2018-03-26,U.S. banks provide rescue financing for gunmaker Remington,"U.S. gunmaker Remington Outdoor Co has obtained commitments for nearly $300 million from its existing lenders, including some of the biggest U.S. banks, after new sources of funding dried up in the months leading up to its filing for Chapter 11 bankruptcy.",Reuters,CHN-USA
2018-03-26,Mnuchin: Trump not afraid of a trade war with China - Fox News,"Despite threats of retaliation from China over U.S. plans to impose tariffs on up to $60 billion in Chinese goods, Treasury Secretary Steve Mnuchin on Sunday said President Donald Trump had no intention of backing down and was not worried about a trade war.",Reuters,CHN-USA
2018-03-26,"U.S., South Korea revise trade deal, Korean steel faces quota","The United States and South Korea agreed to revise a trade pact sharply criticized by U.S. President Donald Trump, Seoul said on Monday, with U.S. automakers winning improved market access and Korean steelmakers hit with quotas but avoiding hefty tariffs.",Reuters,KOR-USA
2018-03-26,White House's Navarro says U.S. in talks with China on trade,White House trade adviser Peter Navarro said on Monday that United States is in talks with China after Washington announced plans to impose tariffs on up to $60 billion of Chinese products.,Reuters,CHN-USA
2018-03-26,China urges WTO members: Put U.S. tariff 'beast back in the cage',"China called on World Trade Organization members on Monday to unite to prevent the United States ""wrecking"" the WTO, and it urged them to oppose U.S. President Donald Trump's tariffs targeting China's alleged theft of intellectual property.",Reuters,CHN-USA
2018-03-27,China's Li says working towards dialogue with U.S. but prepared for trade war,"Chinese Premier Li Keqiang told visiting U.S. lawmakers on Tuesday that China is working towards dialogue with the United States on trade but is prepared for a trade war, state television reported.",Reuters,CHN-USA
2018-03-27,China steel industry adds voice to steel import concerns,"China's steel industry on Tuesday urged Beijing to ensure any increase in steel products seeking a market in the wake of U.S. tariffs did not affect its domestic industry, following the announcement of a European Union import probe.",Reuters,CHN-USA
2018-03-27,Saudi Arabia to sign memorandum with Boeing to support fleet,"Saudi Arabia will sign a non-binding agreement with Boeing Co for the U.S. planemaker to provide support and training to the kingdom's fleet, the chairman of the state-owned military industrial company said on Tuesday.",Reuters,SAU-USA
2018-03-27,Appeals court revives Oracle's copyright claim against Google,A U.S. appeals court on Tuesday resurrected a multi-billion dollar copyright case brought by Oracle Corp against Alphabet Inc's Google.,Reuters,JPN-USA
2018-03-27,Amazon targets French grocery market with Monoprix deal,U.S. e-commerce giant Amazon has made further inroads into food retail in France as Casino's upmarket Monoprix chain became the first local retailer to agree to sell groceries via Amazon.,Reuters,FRA-USA
2018-03-28,Amazon shares fall after report Trump wants to curb its power,"Amazon.com Inc shares fell almost 5 percent on Wednesday, wiping more than $30 billion off its market value, after news website Axios reported that U.S. President Donald Trump is obsessed with the world's largest online retailer and wants to rein in its growing power.",Reuters,CHN-USA
2018-03-28,"Novo Banco posts record loss, remedied by Portugal resolution fund","Portugal's Novo Banco, rescued by the state and acquired last year by U.S. private equity firm Lone Star, reported a record net loss of 1.4 billion euros on Wednesday for 2017 and a fresh capital injection from the country's bank resolution fund.",Reuters,PRT-USA
2018-03-28,Brexit and the City: Tracking the fortunes of London's financial districts,Is London's position as the largest international center of finance slipping as a result of Brexit?,Reuters,CHN-GBR
2018-03-28,Brexit and the City: Food for thought from London dining room,"Diners are still flocking to the elegant, glass-domed dining room at 1 Lombard Street, despite uncertainty about London's future after Britain exits the European Union next year.",Reuters,CHN-GBR
2018-03-28,Drugmaker Shire soars as Japan's Takeda considers bid,Japan's largest drugmaker Takeda Pharmaceutical is considering a bid for London-listed rare disease specialist Shire that could top $40 billion and spark another takeover battle in the deal-hungry pharma industry.,Reuters,GBR-JPN
2018-03-28,"On China trade clash, Wall Street embraces Trump's poker face","To Wall Street money managers who make bets for a living, U.S. President Donald Trump's aggressive stance against China on trade looks like a high-stakes poker hand - but they believe they can play it for all it's worth.",Reuters,CHN-USA
2018-03-28,China preparing list of retaliatory tariffs on U.S. imports: Global Times,"China will soon announce a list of retaliatory tariffs on United States exports to China to counter an expected announcement from the United States of proposed new tariffs on Chinese imports, the Global Times said Wednesday.",Reuters,CHN-USA
2018-03-28,"In South Korea, U.S. cars are rare, and often German or Japanese","The United States and South Korea have agreed to revise a trade pact with a side deal to deter competitive currency devaluation by Seoul and with concessions for U.S. autos and pharmaceutical companies, Trump administration officials said on Tuesday.",Reuters,KOR-USA
2018-03-29,"Tesla returned to German subsidies list, ending row",Tesla buyers in Germany can apply for subsidies again because a government agency has ended its dispute with the U.S. carmaker over whether its Model S was too expensive to qualify for the incentives scheme.,Reuters,DEU-USA
2018-03-30,NYSE in talks to acquire Chicago Stock Exchange: Wall Street Journal,"Intercontinental Exchange Inc's New York Stock Exchange (NYSE) is in talks to buy the Chicago Stock Exchange (CHX), the Wall Street Journal reported on Friday, a month-and-a-half after U.S. regulators blocked the sale of CHX to China-based investors.",Reuters,CHN-USA
2018-03-30,Uber seen girding for battle with Ola in India ahead of IPO,"Uber's decision to exit Southeast Asia, where it was bleeding money, should give the global ride-hailing giant more firepower to focus on India, where it's locked in a fierce battle with local rival, Ola, industry analysts say.",Reuters,CHN-IND
2018-03-30,How Seoul raced to conclude U.S. trade deal ahead of North Korea talks,"South Korean trade officials braved snowstorms, ate instant noodles to save time and spent weeks hotel-hopping in Washington as they raced to overcome major trade hurdles with their U.S. ally ahead of high-stakes nuclear discussions with North Korea.",Reuters,PRK-USA
2018-04-02,Transcontinental beefs up packaging business with $1.32 billion Coveris deal,Transcontinental Inc said it would buy the U.S. packaging business of Coveris Holdings S.A. for $1.32 billion (C$1.70 billion) as the Canadian publisher looks to join other top North American companies in the flexible packaging space.,Reuters,CHN-USA
2018-04-02,"Dollar slips on China tariffs, U.S. stocks tumble","The dollar slid on Monday as China raised tariffs on U.S. goods in an escalating spat between the world's two biggest economies while stocks on Wall Street tumbled, led by a rout in technology shares, after President Donald Trump again attacked Amazon.com.",Reuters,CHN-USA
2018-04-02,"Trump to unveil China tariff list this week, targeting tech goods","The Trump administration this week will unveil a list of advanced technology Chinese imports targeted for U.S. tariffs to punish Beijing over technology transfer policies, a move expected to intensify trade tensions between the world's two largest economies.",Reuters,CHN-USA
2018-04-02,China hits U.S. goods with tariffs as 'sparks' of trade war fly,"China has increased tariffs by up to 25 percent on 128 U.S. products, from frozen pork and wine to certain fruits and nuts, escalating a dispute between the world's biggest economies in response to U.S. duties on imports of aluminum and steel.",Reuters,CHN-USA
2018-04-02,"White House criticizes China for trade practices, tariff increases","The White House on Monday accused China of distorting global markets and said the country should not target ""fairly traded U.S. exports"" after Beijing increased tariffs on 128 U.S. products in response to U.S. duties on imports of aluminum and steel.",Reuters,CHN-USA
2018-04-02,"Instant View: Stocks tumble, led by tech pullback and trade fears","U.S. benchmark stock indexes fell sharply on Monday, undermined by weakness in the technology sector while a growing trade dispute with China has investors pulling back on concerns over economic growth.",Reuters,CHN-USA
2018-04-02,GM Korea's March sales dive; seeks to halt one shift at Bupyeong plant,"General Motors Co's South Korean unit has proposed suspending one of two shifts at a plant near Seoul, an internal union newsletter seen by Reuters showed, increasing uncertainty about the fate of the factory as the U.S. automaker grapples with slumping sales.",Reuters,KOR-USA
2018-04-02,"Trump, Abe to discuss trade after U.S. aluminum, steel tariffs-White House","U.S. President Donald Trump will discuss ""reciprocal trade and investment ties"" with Japan's prime minister Shinzo Abe during a visit later this month, the White House said on Monday.",Reuters,JPN-USA
2018-04-03,"Stocks rally on Amazon's rebound, dollar gains","A gauge of global equity markets edged higher on Tuesday on a rebound in Amazon.com shares and as a still bright earnings outlook offset a somber mood among investors, while the U.S. dollar rose on easing concerns over a China-U.S. trade spat.",Reuters,CHN-USA
2018-04-03,China formally notifies the WTO of retaliatory tariffs against U.S.,"China has notified the World Trade Organization it is imposing $611.5 million worth of retaliatory tariffs on $2.75 billion worth of U.S. imports including pork, nuts and ethanol in response to U.S. duties on aluminum and steel, a WTO document showed.",Reuters,CHN-USA
2018-04-03,"China slams U.S. trade action, to retaliate on same scale, strength","China on Tuesday condemned the U.S. announcement of tariffs on $50 billion worth of Chinese imports and said it would ""take corresponding measures of equal scale and strength against U.S. products.""",Reuters,CHN-USA
2018-04-03,California wine and nut growers call China tariffs a blow,"California farmers, many of whom voted for President Donald Trump and his tough talk on trade, say China's increased tariffs on products like almonds, pistachios and wine are a competitive blow, but some are hopeful they will lead to a better deal down the road.",Reuters,CHN-USA
2018-04-03,"China commerce ministry condemns U.S. tariffs, will take countermeasures","China's commerce ministry said on Wednesday it ""strongly condemns and firmly opposes"" the proposed U.S. tariffs following the Section 301 probe and will take counter measures, according to the official Xinhua news agency.",Reuters,CHN-USA
2018-04-03,China ready for proportionate response to U.S. tariffs: envoy,"China will take counter-measures of the ""same proportion"" and scale if the United States imposes further tariffs on Chinese goods, China's ambassador to Washington said, amid growing fears of an impending trade war.",Reuters,CHN-USA
2018-04-03,China imposed tariffs on U.S. products to 'balance losses': state media,"China imposed tariffs on 128 U.S. products ranging from wine to oranges in order to ""balance the losses"" caused by U.S. duties and to protect China's national interests, according to a commentary on the front page of the official People's Daily.",Reuters,CHN-USA
2018-04-03,"China warns U.S. not to open Pandora's Box, unleash trade ills on world",(This version of the March 29th story corrects value of China's U.S. semiconductor imports in paragraph 8),Reuters,CHN-USA
2018-04-03,China's premier pledges market opening in bid to avert U.S. trade war,(This version of the March 26th story corrects value of China's U.S. semiconductor imports in paragraph 9),Reuters,CHN-USA
2018-04-03,"U.S. seeks China trade moves on autos, financials, chips: source",(This version of the March 26th story corrects value of China's U.S. semiconductor imports in paragraph 14),Reuters,CHN-USA
2018-04-04,"U.S., China may pursue talks over trade differences: USTR official","The United States and China may pursue negotiations to resolve deepening differences over trade, a U.S. trade official said on Wednesday, but he declined to say whether any new high-level meetings were planned.",Reuters,CHN-USA
2018-04-04,U.S. meat groups fear China beef tariff hike risks market growth,"China's proposal on Wednesday for tariffs on U.S. beef confirmed the worst-case scenario for the U.S. cattle industry, trade groups said on Wednesday, even as they remained hopeful the dispute could be resolved quickly.",Reuters,CHN-USA
2018-04-04,"China tariffs on soy, sorghum spread fear in U.S. farm country","China aimed a direct strike at America's heartland on Wednesday, moving to slap an aggressive 25 percent retaliatory tariff against U.S. soybeans, farm country's most valuable export to China last year, worth $12 billion.",Reuters,CHN-USA
2018-04-04,Deere says assessing impact of Beijing's new tariffs,U.S. agricultural machinery maker Deere & Co said on Wednesday it would monitor Beijing's new tariff proposals to evaluate their impact on the company and its customers.,Reuters,CHN-USA
2018-04-04,U.S. must 'mitigate' trade damage on American farmers: senator,"U.S. Senator Chuck Grassley on Wednesday blasted the Trump administration over its handling of trade issues, saying while the United States should act, China's retaliatory moves were disproportionately affecting America's agriculture sector.",Reuters,CHN-USA
2018-04-04,"Cargill 'deeply concerned' over trade tensions between U.S., China","Cargill Inc [CARG.UL] said on Wednesday that it was ""deeply concerned"" by the escalating U.S.-China trade conflict, after Beijing announced new tariffs on imports of U.S. soybeans and other goods.",Reuters,CHN-USA
2018-04-04,White House not planning new big trade initiative against China: official,"President Donald Trump's administration does not at this time have another new, big trade initiative planned against China and is focused on implementing the moves that have already been announced, a White House official said on Wednesday.",Reuters,CHN-USA
2018-04-04,DowDuPont says U.S.-China conflict could hit its agriculture unit,"DowDuPont Inc said on Wednesday that its agriculture unit could be affected by the escalating U.S.-China trade conflict, after Beijing announced new tariffs on imports of U.S. soybeans and other goods.",Reuters,CHN-USA
2018-04-04,"Ford Motor urges U.S., China to resolve trade issues","Ford Motor Co on Wednesday said it encouraged the U.S. and Chinese governments to ""work together to resolve issues"" after China retaliated against U.S. plans to impose tariffs with a list of similar duties.",Reuters,CHN-USA
2018-04-04,"U.S. says China's WTO objection to steel, aluminum tariffs 'baseless'","Beijing's objections to U.S. steel and aluminum tariffs are ""completely baseless"" and there is no justification to impose $3 billion in retaliatory tariffs on U.S. fruits, nuts and other goods, the Trump administration said it told China and the World Trade Organization Wednesday.",Reuters,CHN-USA
2018-04-04,China trade retaliation puts stocks of U.S. exporters in spin,"Shares in U.S. exporters of everything from planes to tractors were volatile on Wednesday after China proposed duties on key U.S. imports including soybeans, planes, cars, beef and chemicals in retaliation to Trump administration tariff plans.",Reuters,CHN-USA
2018-04-04,Factbox: U.S. winners and losers from trade tit-for-tat,"China on Wednesday hit back at U.S. President Donald Trump's plan to impose tariffs on $50 billion of Chinese imports, proposing additional tariffs of 25 percent on 106 categories of U.S. goods, from soybeans to autos, chemicals and some kinds of aircraft.",Reuters,CHN-USA
2018-04-04,Broadcom completes move to U.S. from Singapore,"Broadcom Inc said on Wednesday it had completed its move back to the United States from Singapore, weeks after President Donald Trump blocked its $117 billion offer to buy Qualcomm Inc on national security grounds.",Reuters,SGP-USA
2018-04-04,White House adviser says expects China to 'play ball' on trade,"President Donald Trump's top economic adviser said on Wednesday he expected China would ""play ball"" on trade and come to agreements that would avoid the need for the United States to implement steep tariffs on Chinese imports.",Reuters,CHN-USA
2018-04-04,"U.S.-China trade war could hit German automakers, plus Tesla, Ford","Escalating trade tensions between the United States and China may dent production of German luxury SUVs made in the U.S. South and sent to China, with exports from electric vehicle maker Tesla Inc and Ford Motor Co also vulnerable.",Reuters,CHN-USA
2018-04-04,White House says hopes China changes trade practices to avert tariffs,"The White House said on Wednesday it hoped China would change its ""unfair trade practices"" in a way that would avoid the need for the Trump administration to move forward with announced import tariffs.",Reuters,CHN-USA
2018-04-04,Oil giants stay in their own backyards in U.S. auction,The Trump administration heralded the government's sale last month of U.S. drilling leases in the Gulf of Mexico as a bellwether.,Reuters,CHN-USA
2018-04-04,China has never given in to external pressure: vice finance minister,"China has never given in to external pressure, Vice Finance Minister Zhu Guangyao said on Wednesday, shortly after Beijing unveiled a list of U.S. goods it will target in response to planned U.S. tariffs.",Reuters,CHN-USA
2018-04-04,China announces additional tariffs on $50 billion of U.S. goods,"China will impose additional tariffs of 25 percent on 106 U.S. goods including soybeans, autos, chemicals, some types of aircraft and corn products, among other agricultural goods, the finance ministry said on Wednesday.",Reuters,CHN-USA
2018-04-04,"China to impose tariffs on soybeans, autos among 106 U.S. products","China will impose additional tariffs of 25 percent on 106 U.S. products including soybeans, autos and chemicals, state broadcaster CCTV reported on Wednesday.",Reuters,CHN-USA
2018-04-04,China state media journalist says on Twitter Beijing to announce retaliatory trade steps Wednesday,"Global Times's Editor-in-Chief Hu Xijin said on Twitter that China will announce retaliatory steps on Wednesday afternoon, after the U.S. administration unveiled a list of Chinese goods that could face additional U.S. tariffs.",Reuters,CHN-USA
2018-04-04,China diplomat says latest U.S. tariffs a further step in wrong direction: media,"China's ambassador to the United States, Cui Tiankai, said Washington's latest tariffs on Chinese goods is a further step in the wrong direction, state television reported on Wednesday.",Reuters,CHN-USA
2018-04-04,Trump says 'we are not in a trade war with China': tweet,"U.S. President Donald Trump denied on Wednesday that the United States was in a trade war with China, hours after Beijing slapped tariffs on a list of U.S. imports in retaliation for similar duties levied by the White House one day earlier.",Reuters,CHN-USA
2018-04-04,China-U.S. trade frictions must be resolved via talks: Chinese official,"Trade frictions between China and the United States must be resolved through negotiations, Vice Finance Minister Zhu Guangyao said on Wednesday, while adding that Beijing will continue to hit back if Washington wants to keep up the fight.",Reuters,CHN-USA
2018-04-04,"China deploys soybeans in trade war, but may hit own foot","China will struggle to replace U.S. soybean supplies after implementing an additional 25 percent tariff on American shipments, likely inflicting severe financial pain on domestic companies, analysts and executives at feedmakers said.",Reuters,CHN-USA
2018-04-04,U.S. escalates China trade showdown with tariffs on $50 billion in imports,"The Trump administration on Tuesday raised the stakes in a growing trade showdown with China, targeting 25 percent tariffs on some 1,300 industrial technology, transport and medical products to try to force changes in Beijing's intellectual property practices.",Reuters,CHN-USA
2018-04-04,"China retaliates, slaps duties on U.S. soybeans, planes; markets skid","China hit back quickly on Wednesday against the Trump administration's plans to impose tariffs on $50 billion in Chinese goods, retaliating with a list of similar duties on key U.S. imports including soybeans, planes, cars, beef and chemicals.",Reuters,CHN-USA
